  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 117  9.8%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2207   0.00807   0.00265  -0.0738   0.8666   0.0433
  -4.800  -0.1993   0.00792   0.00248  -0.0736   0.8567   0.0534
  -4.600  -0.1776   0.00779   0.00234  -0.0734   0.8471   0.0618
  -4.400  -0.1559   0.00768   0.00220  -0.0733   0.8381   0.0701
  -4.200  -0.1343   0.00754   0.00208  -0.0731   0.8290   0.0822
  -4.000  -0.1125   0.00741   0.00196  -0.0730   0.8202   0.0948
  -3.800  -0.0908   0.00729   0.00185  -0.0728   0.8119   0.1083
  -3.600  -0.0688   0.00717   0.00174  -0.0727   0.8033   0.1225
  -3.400  -0.0469   0.00706   0.00164  -0.0726   0.7954   0.1361
  -3.200  -0.0249   0.00697   0.00154  -0.0725   0.7872   0.1507
  -3.000  -0.0028   0.00686   0.00146  -0.0724   0.7794   0.1683
  -2.800   0.0191   0.00676   0.00138  -0.0723   0.7716   0.1867
  -2.600   0.0412   0.00666   0.00131  -0.0723   0.7638   0.2060
  -2.400   0.0631   0.00657   0.00125  -0.0722   0.7562   0.2285
  -2.200   0.0854   0.00648   0.00119  -0.0721   0.7483   0.2502
  -2.000   0.1074   0.00640   0.00114  -0.0720   0.7407   0.2723
  -1.800   0.1295   0.00631   0.00110  -0.0720   0.7325   0.2971
  -1.600   0.1515   0.00622   0.00106  -0.0719   0.7248   0.3264
  -1.400   0.1736   0.00614   0.00102  -0.0718   0.7167   0.3546
  -1.200   0.1957   0.00606   0.00100  -0.0718   0.7090   0.3848
  -1.000   0.2176   0.00597   0.00098  -0.0717   0.7013   0.4218
  -0.800   0.2397   0.00587   0.00097  -0.0716   0.6937   0.4582
  -0.600   0.2616   0.00579   0.00096  -0.0715   0.6861   0.4974
  -0.400   0.2836   0.00568   0.00096  -0.0715   0.6784   0.5414
  -0.200   0.3052   0.00558   0.00097  -0.0713   0.6708   0.5890
   0.000   0.3270   0.00547   0.00099  -0.0712   0.6629   0.6370
   0.200   0.3484   0.00538   0.00101  -0.0710   0.6554   0.6860
   0.400   0.3698   0.00528   0.00103  -0.0707   0.6472   0.7358
   0.600   0.3906   0.00519   0.00107  -0.0702   0.6395   0.7862
   0.800   0.4108   0.00511   0.00111  -0.0696   0.6312   0.8341
   1.000   0.4302   0.00504   0.00115  -0.0688   0.6232   0.8807
   1.200   0.4487   0.00500   0.00118  -0.0677   0.6149   0.9265
   1.400   0.4740   0.00498   0.00119  -0.0681   0.6059   0.9655
   1.600   0.5066   0.00502   0.00120  -0.0703   0.5962   0.9894
   1.800   0.5343   0.00509   0.00121  -0.0715   0.5863   1.0000
   2.000   0.5556   0.00515   0.00125  -0.0713   0.5762   1.0000
   2.200   0.5769   0.00523   0.00129  -0.0710   0.5659   1.0000
   2.400   0.5982   0.00531   0.00133  -0.0708   0.5553   1.0000
   2.600   0.6195   0.00541   0.00137  -0.0706   0.5431   1.0000
   3.000   0.6621   0.00561   0.00149  -0.0701   0.5165   1.0000
   3.200   0.6833   0.00573   0.00156  -0.0699   0.5005   1.0000
   3.400   0.7044   0.00587   0.00163  -0.0696   0.4821   1.0000
   3.600   0.7253   0.00603   0.00172  -0.0694   0.4615   1.0000
   3.800   0.7460   0.00621   0.00182  -0.0691   0.4388   1.0000
   4.000   0.7662   0.00645   0.00194  -0.0687   0.4108   1.0000
   4.200   0.7862   0.00671   0.00208  -0.0683   0.3813   1.0000
   4.400   0.8063   0.00697   0.00222  -0.0680   0.3545   1.0000
   4.600   0.8264   0.00722   0.00238  -0.0676   0.3308   1.0000
   4.800   0.8464   0.00750   0.00255  -0.0673   0.3057   1.0000
   5.000   0.8662   0.00778   0.00273  -0.0669   0.2797   1.0000
